id,title,answer,url
4b1f3703-8ddc-48e8-a7cc-a3e4637303dc,چگونه اعداد شاخص‌های مربوط به تعداد اقلام FAQ و تعداد FAQ تایید شده را استخراج کنیم؟ در FAQ Plugin این اطلاعات را مشاهده نمی‌کنم. از چه راهی این اطلاعات را استخراج کنیم؟,"استخراج تعداد موارد ثبت شده 
 FAQ:select count(*)
  from confluence.content c1
 where pluginkey = 'com.atlassian.confluence.plugins.confluence-questions:question'
   and not exists (select 1 from confluence.content c2 where c2.prevver = c1.contentid)
استخراج تعداد موارد تایید شده:
select count(*) 
  from ao_b1dbb9_acceptance;",https://atlassian.payeshgaran.net:8443/display/FAQGNR/questions/135762316
0a229369-e338-4575-af1a-b0c8ff4c8751,اتکایی اختیاری چیست؟,ویژگی‌ها:انتخابی بودن: برخلاف بیمه اتکایی اجباری، که انتقال ریسک به شرکت بیمه اتکایی الزامی است، در اتکایی اختیاری بیمه‌گر می‌تواند تصمیم بگیرد که ریسک خود را منتقل کند یا نه.انعطاف‌پذیری: شرکت بیمه قادر است با توجه به شرایط خاص خود، ریسک‌ها را به طور انتخابی به اتکایی منتقل کند.پوشش خطرات خاص: بیمه‌گر ممکن است تنها برخی از خطرات خاص یا بزرگ را به شرکت بیمه اتکایی منتقل کند.این نوع اتکای بیمه به شرکت‌های بیمه کمک می‌کند تا در مواجهه با ریسک‌های سنگین یا غیرمنتظره، از حمایت مالی شرکت‌های اتکایی بهره‌مند شوند.,https://atlassian.payeshgaran.net:8443/display/FAQGNR/questions/135758692
16b48835-93db-40c7-b63b-862a6c5ea30f,بهترین شرایط پرداخت حق بیمه ، بیمه نامه های عمر چگونه است؟,نحوه روش پرداخت حق بیمه در بیمه نامه های عمر :ماهانه- دوماه (بیمه نامه عمر گندم )-سه ماه - شش ماه - یکساله و بصورت یکجا می باشد.,https://atlassian.payeshgaran.net:8443/display/FAQGNR/questions/135759886
249b0288-8cf1-483c-ac2a-e20c1ec090b4,فرانشیز چیست و چند نوع فرانشیز داریم؟,فرانشیز یعنی سهمی از خسارت که بیمه‌گذار شخصاً متحمل می‌شود و بیمه‌گر مابقی را پرداخت می‌کند:مزایای فرانشیزکاهش حقمشارکت بیمه گزار در مدیریت ریسکجلوگیری ازخسارتهای کوچک:انواع فرانشیزثابت    درصدی    ترکیبی,https://atlassian.payeshgaran.net:8443/display/FAQGNR/questions/135760056
13bb0e4f-44be-4a28-b83d-ae16877aca5d,شرایط پرداخت حق بیمه عمر چندحالت دارد؟,حق بیمه یکجا ،حق بیمه سالیانه ، ماهانه، سه ماهانه، شش ماهه,https://atlassian.payeshgaran.net:8443/display/FAQGNR/questions/135759774
4e28f0ca-8439-4b73-939c-619f7c6134cb,آیا اتباع خارجی مقیم در ایران می توانند بیمه عمر خریداری کنند؟,صدور بیمه نامه های عمر انفرادی برای آن دسته از اتباع خارجی و اعضای خانواده تحت تکفل آنها شامل همسر و فرزندان که دارای مجوز اقامت و اشتغال در داخل کشور از مراجع قانونی ذیصلاح باشند و تا زمانی که اقامت آنها در کشور ادامه داشته باشد بلامانع است.,https://atlassian.payeshgaran.net:8443/display/FAQGNR/questions/135759866
a648e081-3b81-40b1-b771-5a4ca049a78e,شرایط خصوصی چیست؟,شرایط خصوصی در بیمه‌نامه، مجموعه شروط و توافقاتی است که بین بیمه‌گر و بیمه‌گذار به طورخاص تعیین می‌شود. این شرایط برای هر قرارداد متفاوت است. باید درنظر داشت که شرایط خصوصی نباید با شرایط عمومی بیمه‌نامه در تضاد باشد و صرفاً می‌تواند آن را تکمیل کند,https://atlassian.payeshgaran.net:8443/display/FAQGNR/questions/135758590
e72a555f-af0d-4dc5-a914-a4a8cc98bcd6,اتکایی اجباری چیست؟,بیمه اتکایی اجباریقراردادی است که به موجب آن بیمه‌گر واگذارنده متعهد می‌شود درصد یا سهم مشخصی از کلیه ریسک‌های موضوع قرارداد را به بیمه‌گر اتکایی واگذار کند و در مقابل، بیمه‌گر اتکایی نیز متعهد می‌شود تمام ریسک‌های واگذار شده در چارچوب قرارداد را بپذیرد. در این نوع قرارداد، طرفین ملزم به رعایت تعهدات خود هستند و این تعهد برای یک دوره   زمانی مشخص (معمولاً یک سال) ادامه دارد,https://atlassian.payeshgaran.net:8443/display/FAQGNR/questions/135758681
de621b22-6be4-47a7-a4db-60915c03be2a,پرسشنامه چه زمانی بیمه نامه می شود؟,پرسشنامه زمانی تبدیل به بیمه نامه می‌شودکهبیمه گزارحق بیمه راپرداخت کندپرسشنامه توسط بیمه گر (شرکت بیمه ) پذیرفته و تایید شودفرم پیشنهاد توسط بیمه گزار تکمیل و امضا شده باشدنتایج معاینات پزشکی (درصورت وجود)تایید شده باشدپس از طی این مراحل*یک شماره بیمه‌نامه منحصر به فرد به آن اختصاص داده می‌شود*این شماره درسیستم جامع بیمه مرکزی ثبت می‌شود*از این لحظه پوشش بیمه‌ای آغاز می‌شود و بیمه نامه به عنوان سند رسمی و معتبر شناخته می شود,https://atlassian.payeshgaran.net:8443/display/FAQGNR/questions/135758665
71992176-158c-40d8-be41-9b7ffb64c6da,چگونه در هنگام تایپ متن فارسی نیم فاصله بگذاریم؟,در حالت عادی و در صورتی که صفحه کلید فارسی customize نشده باشد کلیدهای ترکیبی CTRL+SHIFT+2 نیم فاصله درج می‌کند.نمونه نیم فاصله در این متن عبارتمی‌کندمی‌باشد.منظور از نیم‌ فاصله ZWNJ (Zero Width Non Joiner) می‌باشد.,https://atlassian.payeshgaran.net:8443/display/FAQGNR/questions/135758180
